epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4220.18,1.04373,0.87705,1.12421,0.80322,0.83748,0.85045,0.62532,0.84204,0.62479,0.98921,0.0090595,0.0090595,0.0090595
59,4292.63,1.04003,0.87363,1.11646,0.79559,0.8433,0.85162,0.62652,0.84427,0.62787,0.99152,0.009043,0.009043,0.009043
60,4366.06,1.03542,0.86946,1.12041,0.79999,0.84562,0.85379,0.62649,0.85122,0.61965,0.99665,0.0090265,0.0090265,0.0090265
61,4439.15,1.02105,0.85279,1.11377,0.79586,0.84925,0.85447,0.62964,0.84607,0.62019,0.99725,0.00901,0.00901,0.00901
62,4512.6,1.03002,0.85878,1.12136,0.79075,0.86778,0.85854,0.63251,0.848,0.61529,0.99863,0.0089935,0.0089935,0.0089935
63,4585.37,1.03214,0.8581,1.11354,0.7967,0.8558,0.85736,0.63517,0.8364,0.60702,0.98442,0.008977,0.008977,0.008977
64,4659.44,1.02525,0.85159,1.11355,0.79855,0.86148,0.86185,0.64119,0.82695,0.60152,0.97938,0.0089605,0.0089605,0.0089605
65,4732.91,1.02463,0.84628,1.11189,0.80044,0.83769,0.85088,0.6328,0.83351,0.60401,0.98274,0.008944,0.008944,0.008944
66,4806.45,1.02013,0.84651,1.11109,0.78956,0.87067,0.85928,0.63662,0.8338,0.60343,0.98661,0.0089275,0.0089275,0.0089275
67,4880.13,1.02255,0.85256,1.1157,0.80627,0.86168,0.86699,0.64567,0.82902,0.59692,0.98229,0.008911,0.008911,0.008911
68,4954.3,1.01878,0.84382,1.11316,0.79684,0.86481,0.86404,0.64327,0.82752,0.59299,0.98576,0.0088945,0.0088945,0.0088945
69,5028.42,1.02081,0.8397,1.10688,0.80356,0.85197,0.86146,0.64203,0.82895,0.60255,0.98312,0.008878,0.008878,0.008878
70,5101.85,1.01332,0.83241,1.10478,0.79817,0.86738,0.86444,0.64269,0.8231,0.59269,0.98077,0.0088615,0.0088615,0.0088615
71,5175.02,1.02305,0.8336,1.10998,0.80579,0.87099,0.86618,0.64492,0.83121,0.5905,0.98462,0.008845,0.008845,0.008845
72,5248.64,1.01297,0.83176,1.10499,0.79512,0.86143,0.86685,0.65044,0.818,0.58731,0.97622,0.0088285,0.0088285,0.0088285
73,5322.91,1.01646,0.83695,1.10947,0.8053,0.87476,0.86912,0.65113,0.81427,0.58449,0.9761,0.008812,0.008812,0.008812
74,5397.67,1.00864,0.81769,1.105,0.81032,0.86687,0.86238,0.64886,0.81212,0.58334,0.97152,0.0087955,0.0087955,0.0087955
75,5471.02,1.00647,0.81675,1.10247,0.802,0.87448,0.86382,0.64992,0.80672,0.58211,0.97313,0.008779,0.008779,0.008779
76,5544.67,1.00555,0.81196,1.09941,0.79414,0.8733,0.86633,0.65075,0.81108,0.5853,0.97585,0.0087625,0.0087625,0.0087625
77,5618.09,1.00222,0.8169,1.10012,0.7847,0.86835,0.86632,0.65026,0.813,0.58437,0.97528,0.008746,0.008746,0.008746
