epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1795.26,0.97995,0.72459,1.08713,0.88171,0.8191,0.88679,0.63778,0.9189,0.56926,1.03758,0.0006502,0.0006502,0.0006502
55,1824.26,0.97363,0.72225,1.08456,0.8877,0.82497,0.89614,0.64728,0.89992,0.56676,1.02736,0.0006436,0.0006436,0.0006436
56,1853.01,0.97935,0.71228,1.08768,0.88661,0.82058,0.89768,0.647,0.91037,0.56075,1.03079,0.000637,0.000637,0.000637
57,1882.06,0.96393,0.70678,1.0814,0.89859,0.80457,0.89362,0.64442,0.90658,0.56153,1.0338,0.0006304,0.0006304,0.0006304
58,1910.84,0.97355,0.70916,1.08587,0.88251,0.80117,0.88545,0.63607,0.90491,0.55667,1.03071,0.0006238,0.0006238,0.0006238
59,1939.63,0.95992,0.69612,1.07632,0.9,0.79222,0.87935,0.63648,0.90709,0.56035,1.02505,0.0006172,0.0006172,0.0006172
60,1968.11,0.96616,0.69525,1.08068,0.90429,0.80008,0.8885,0.64119,0.89975,0.54853,1.03042,0.0006106,0.0006106,0.0006106
61,1996.45,0.94842,0.6909,1.07836,0.89427,0.80633,0.89039,0.6405,0.91912,0.55648,1.03678,0.000604,0.000604,0.000604
62,2025.14,0.94572,0.69072,1.07179,0.87506,0.83314,0.89993,0.65298,0.89247,0.53221,1.0267,0.0005974,0.0005974,0.0005974
63,2053.85,0.94864,0.69185,1.07363,0.88868,0.81745,0.89559,0.65123,0.9003,0.54002,1.0263,0.0005908,0.0005908,0.0005908
64,2082.53,0.95193,0.68531,1.07429,0.89874,0.80032,0.88762,0.64002,0.90333,0.5432,1.02325,0.0005842,0.0005842,0.0005842
65,2110.85,0.95432,0.68898,1.07688,0.89547,0.80328,0.88871,0.643,0.90655,0.56266,1.02981,0.0005776,0.0005776,0.0005776
66,2139.64,0.93481,0.67714,1.07157,0.88196,0.8061,0.8877,0.64238,0.8921,0.54288,1.02336,0.000571,0.000571,0.000571
67,2168.67,0.94104,0.67903,1.06806,0.88018,0.83372,0.89344,0.65226,0.88874,0.54169,1.02181,0.0005644,0.0005644,0.0005644
68,2197.74,0.94112,0.67691,1.06789,0.87279,0.84162,0.90627,0.66024,0.87019,0.5315,1.0017,0.0005578,0.0005578,0.0005578
69,2227.04,0.93224,0.66184,1.0693,0.89337,0.83173,0.90553,0.65794,0.87905,0.52867,1.01155,0.0005512,0.0005512,0.0005512
70,2256.56,0.93594,0.66971,1.06754,0.87864,0.84027,0.8992,0.65951,0.87536,0.52779,1.007,0.0005446,0.0005446,0.0005446
71,2285.95,0.93597,0.66213,1.06625,0.89045,0.82273,0.89716,0.6547,0.88052,0.53201,1.01485,0.000538,0.000538,0.000538
72,2316.57,0.93751,0.66151,1.06341,0.90097,0.80777,0.89686,0.65793,0.87982,0.52659,1.0151,0.0005314,0.0005314,0.0005314
73,2347.05,0.93514,0.66255,1.06843,0.89396,0.82631,0.90516,0.66051,0.88237,0.52043,1.01328,0.0005248,0.0005248,0.0005248
74,2380.04,0.93046,0.65001,1.06031,0.91059,0.80652,0.89432,0.65623,0.86369,0.51949,1.00516,0.0005182,0.0005182,0.0005182
75,2411.92,0.93002,0.65144,1.05771,0.89578,0.83357,0.90108,0.661,0.88,0.51955,1.00994,0.0005116,0.0005116,0.0005116
76,2443.2,0.91574,0.64259,1.05643,0.89375,0.83683,0.9072,0.66597,0.85953,0.51063,1.00555,0.000505,0.000505,0.000505
77,2474.17,0.92336,0.64176,1.06198,0.89039,0.85606,0.91214,0.66915,0.87054,0.50182,1.01083,0.0004984,0.0004984,0.0004984
78,2504.41,0.92035,0.63501,1.05726,0.89601,0.84343,0.90722,0.66889,0.86124,0.50529,1.0023,0.0004918,0.0004918,0.0004918
79,2534.66,0.90566,0.63422,1.05736,0.87936,0.84991,0.91058,0.6702,0.8652,0.50673,1.00387,0.0004852,0.0004852,0.0004852
80,2565.07,0.91583,0.64934,1.05873,0.89606,0.82594,0.90434,0.66967,0.86022,0.50771,1.00101,0.0004786,0.0004786,0.0004786
81,2601.39,0.91047,0.62947,1.05677,0.89938,0.83171,0.90628,0.66999,0.85552,0.49932,1.00272,0.000472,0.000472,0.000472
82,2634.65,0.89854,0.62976,1.04899,0.89946,0.83282,0.91011,0.67058,0.85707,0.49554,0.9999,0.0004654,0.0004654,0.0004654
